"Year","Month","Region","scenario","NJ_BPUV","JA_BPUV","JAC_BPUV","NJAC_BPUV","M_BPUV","JACM_BPUV","NJACM_BPUV","ACM_BPUV"
1995,"January","Far West","sal_Alt2_wTUCP_l95",65.8719646384211,124.346225142633,917.470662387276,919.638346395175,0,917.521747422191,919.689532923538,248.672698763266
1995,"February","Far West","sal_Alt2_wTUCP_l95",173.403908278379,271.368069409405,466.329090634023,471.077149390901,0,470.813176930582,475.566625214259,230.077873622227
1995,"March","Far West","sal_Alt2_wTUCP_l95",11.4877671351574,36.016976915248,592.165685028469,592.165685028469,0,592.165685028469,592.165685028469,486.764997683138
1995,"April","Far West","sal_Alt2_wTUCP_l95",4462.06415923781,29378.4203709416,29442.131178961,29442.131178961,0.000129274664408611,29446.0348299916,29446.0348299916,17911.5609283521
1995,"May","Far West","sal_Alt2_wTUCP_l95",46.1002465426602,570.810424494298,1421.53558663019,1433.76489181157,0.00378057963852511,1426.18083461179,1438.43002528231,1182.1565681828
1995,"June","Far West","sal_Alt2_wTUCP_l95",4139.98401083118,11824.0063942226,11885.6258324884,11943.0125869326,0.000735917518858782,11891.6441530415,11949.0452291934,5076.23899904654
1995,"July","Far West","sal_Alt2_wTUCP_l95",1813.04278016987,5753.12324475462,5753.12324475462,5753.12324475462,0.00000654252217657242,5753.51144165476,5753.51144165476,2535.47334204058
1995,"August","Far West","sal_Alt2_wTUCP_l95",345.278256100937,549.31500645582,549.31500645582,602.792671148515,0.00973389202372404,554.252518466688,607.944542328383,51.1192368648619
1995,"September","Far West","sal_Alt2_wTUCP_l95",95.4614316374195,285.378740058073,285.378740058073,285.858603711653,0.00512056558515339,287.878166898119,288.36,75.312430248706
1995,"October","Far West","sal_Alt2_wTUCP_l95",0,0,0,0,0.05,1099.68,1100.88,67.43
1995,"November","Far West","sal_Alt2_wTUCP_l95",1698.93485417697,1909.31595155709,1909.31595155709,1913.4,0,1909.31595155709,1913.4,59.4382352941176
1995,"December","Far West","sal_Alt2_wTUCP_l95",1289.42379658348,2419.40700818306,2473.89037891429,2501.4030472165,0.000817896101105727,2498.96433608095,2526.5325,701.04860648664
1996,"January","Far West","sal_Alt2_wTUCP_l95",497.161157608123,1071.08068008391,1865.81084081072,1875.17807615818,0.0000657270222760439,1867.15628748339,1876.52729998418,808.100200455783
1996,"February","Far West","sal_Alt2_wTUCP_l95",1185.89067730277,3379.63302156073,3492.53528710282,3535.50243535587,0.00221863033942641,3526.29615687984,3569.37630840047,1888.04994559916
1996,"March","Far West","sal_Alt2_wTUCP_l95",621.498910105196,3978.46991455913,4097.76178347509,4127.15166212995,0.000023073574087224,4098.37682320341,4127.76890306821,2497.04282021986
1996,"April","Far West","sal_Alt2_wTUCP_l95",829.536394845074,4129.34792433371,4176.26728200485,4209.5500788046,0.00229056279624798,4182.51548850911,4215.82300570812,2286.97034714202
1996,"May","Far West","sal_Alt2_wTUCP_l95",194.865146273672,559.8210638811,559.8210638811,598.284696892523,0.0628280581900729,572.97358453154,611.856976383516,271.058696602172
1996,"June","Far West","sal_Alt2_wTUCP_l95",160.879245274309,1136.17094103017,1136.17094103017,1145.4914842546,0.000451731304002426,1137.80547209272,1147.13211804849,724.538152377003
1996,"July","Far West","sal_Alt2_wTUCP_l95",65.8472959498969,366.168252095368,366.168252095368,370.054997131601,0.215350778152846,390.26921277703,394.253265179791,196.734841945005
1996,"August","Far West","sal_Alt2_wTUCP_l95",136.628299986251,1568.88208398011,1568.88208398011,1586.07066345313,0.00209484057095038,1574.20814744769,1591.42077614154,853.042963855931
1996,"September","Far West","sal_Alt2_wTUCP_l95",323.061855868328,482.689086294416,482.689086294416,490.23592524227,0.000150746039070912,483.2289616982,490.78,80.2734933087217
1996,"October","Far West","sal_Alt2_wTUCP_l95",872.831340155345,1211.15621583857,1211.15621583857,1216.55000205482,0.00000205482266880368,1211.2559918629,1216.65,185.736894341018
1996,"November","Far West","sal_Alt2_wTUCP_l95",1616.48166792516,2374.40926671701,2374.40926671701,2383.8,0,2374.40926671701,2383.8,419.970333081634
1996,"December","Far West","sal_Alt2_wTUCP_l95",1224.82148852072,2112.18187202095,2147.96206208737,2173.95681919272,0.00235454938197103,2169.89701254114,2195.9625,463.722045044637
1997,"January","Far West","sal_Alt2_wTUCP_l95",1058.37220658391,1924.97146266319,1961.2126192807,1987.74637445594,0.00470909876394207,1981.49637941078,2008.125,510.323477547319
1997,"February","Far West","sal_Alt2_wTUCP_l95",891.922924647108,1737.76105330542,1774.46317647404,1801.53592971916,0.0070636481459131,1793.09574628042,1820.2875,556.924910050002
1997,"March","Far West","sal_Alt2_wTUCP_l95",594.476061139964,1477.90363018975,1514.67648222944,1540.08813638451,0.00044988812396385,1516.33250439153,1541.75798205942,570.293137288066
1997,"April","Far West","sal_Alt2_wTUCP_l95",22.5141593971571,324.902825628914,324.902825628914,338.529883454305,0.00469080628350786,327.3793388481,341.05682732211,265.166118776068
1997,"May","Far West","sal_Alt2_wTUCP_l95",204.806491380749,571.677158031931,571.677158031931,578.721827239187,0,571.677158031931,578.721827239187,204.611863125714
1997,"June","Far West","sal_Alt2_wTUCP_l95",129.69155495608,937.101084168313,937.101084168313,966.279619988701,0.0860947521675445,960.233938212224,989.755505123867,462.295387197006
1997,"July","Far West","sal_Alt2_wTUCP_l95",295.000343725196,972.554774877759,972.554774877759,997.152297157812,0.0328475872214525,989.046244761791,1013.82399733772,272.668336421234
1997,"August","Far West","sal_Alt2_wTUCP_l95",0.540011281552965,37.9603041040286,37.9603041040286,37.9603041040286,0.0258976361081455,41.1630011275795,41.1630011275795,33.5490356010908
1997,"September","Far West","sal_Alt2_wTUCP_l95",415.89672518431,448.638833448739,448.638833448739,451.513461773451,0.000359252168954421,449.442805588367,452.32,0.418716956539448
1997,"October","Far West","sal_Alt2_wTUCP_l95",536.986451603494,625.696641339381,625.696641339381,645.538362817016,0.000350158234770815,626.633557584331,646.49,39.0938020096545
1997,"November","Far West","sal_Alt2_wTUCP_l95",293.22450671985,1412.26840334176,1412.26840334176,1424.89023445799,0.0000000685349288264764,1412.28808115906,1424.91,767.429045856721
1997,"December","Far West","sal_Alt2_wTUCP_l95",586.693067199224,1826.49971187874,1961.99651933033,1975.89998145483,0.000258526368927079,1970.81776884732,1984.73426304308,891.627307559965
1998,"January","Far West","sal_Alt2_wTUCP_l95",641.79206663342,1675.79869074894,7219.68430204324,7229.47104261936,0.0000238155147476938,7220.62543267144,7230.41285941372,3124.39311902337
1998,"February","Far West","sal_Alt2_wTUCP_l95",3722.42893290333,8731.76604451345,8941.47598211692,9025.62495930085,0.00329636913475945,9032.13575514349,9116.3325,3830.4196753546
1998,"March","Far West","sal_Alt2_wTUCP_l95",3700.83553596448,11099.413041624,11327.3596550346,11334.8210008412,0.0000147044194053629,11328.1767339765,11335.638348666,4749.41219886749
1998,"April","Far West","sal_Alt2_wTUCP_l95",822.023489813964,2798.41918266463,2829.29809215118,2910.0482301666,0.0296618175802549,2847.6966894505,2928.70657126276,1319.02773534207
1998,"May","Far West","sal_Alt2_wTUCP_l95",840.714921261286,7687.09964088102,7687.09964088102,7795.5743837244,0.0845913184667859,7738.28684022653,7847.12030576567,5227.20464203659
1998,"June","Far West","sal_Alt2_wTUCP_l95",949.447289958297,5427.82901385547,6411.18755427532,6506.793117812,0.000538172491819348,6414.90323824636,6510.53640035773,3890.15914102233
1998,"July","Far West","sal_Alt2_wTUCP_l95",1285.75093168292,3991.77362544782,3991.77362544782,4019.39249122792,0.00183586668979954,3997.21865903056,4024.85623968277,1763.87455106839
1998,"August","Far West","sal_Alt2_wTUCP_l95",249.848249984876,1015.15701134711,1015.15701134711,1039.18075826065,0.00475034487346577,1020.13891225759,1044.21445427193,464.566516625376
1998,"September","Far West","sal_Alt2_wTUCP_l95",48.1390715929084,689.330843145216,689.330843145216,693.395276762755,0.00346460955474354,692.426471782379,696.5,506.456516443362
1998,"October","Far West","sal_Alt2_wTUCP_l95",29.5755804469578,158.201729106628,325.028981567071,349.545321080964,0.00548202925343918,327.704829536186,352.32,239.388995704421
1998,"November","Far West","sal_Alt2_wTUCP_l95",114.307593577285,372.092123529874,372.092123529874,379.632998926055,0.00299892605495455,374.207823820625,381.77,171.149314770673
1998,"December","Far West","sal_Alt2_wTUCP_l95",1016.41437183553,2732.57609900468,2786.96311139667,2861.86864693759,0.00840202358408611,2815.95815900108,2891.3725,1444.53041311917
1999,"January","Far West","sal_Alt2_wTUCP_l95",525.327956825209,1492.21051106351,4699.96262695106,4790.84538781137,0.000125013656524629,4701.57739516964,4792.48016088178,2430.45034385005
1999,"February","Far West","sal_Alt2_wTUCP_l95",2691.93520637909,7273.13944509125,7432.98019166882,7638.58935775186,0.00379341305316988,7506.56136043311,7713.53229420219,3891.35165580542
1999,"March","Far West","sal_Alt2_wTUCP_l95",2398.93834739982,9450.42826354637,9536.1620182704,9896.15160807536,0.00000298712417698788,9536.49958101606,9896.4954831576,4950.82647996674
1999,"April","Far West","sal_Alt2_wTUCP_l95",1912.03362544672,6938.91568506728,7037.42290501101,7095.01200740115,0.000460985093335385,7041.17519400218,7098.77934135606,3220.05654189543
1999,"May","Far West","sal_Alt2_wTUCP_l95",650.352142682753,1021.83294979772,1021.83294979772,1053.37179762741,0.0133868200819005,1030.22298894,1061.88044264996,180.42783903359
1999,"June","Far West","sal_Alt2_wTUCP_l95",194.2960753955,1258.37810357028,1258.37810357028,1321.07091110475,0.292547980592143,1302.59591060436,1366.26245904837,808.225810101872
1999,"July","Far West","sal_Alt2_wTUCP_l95",250.170927238153,751.167894275581,751.167894275581,778.625782251086,0.0634158847731305,769.627740814622,797.350323357332,266.526491526221
1999,"August","Far West","sal_Alt2_wTUCP_l95",75.4660333834452,303.421324072864,303.421324072864,340.409514806267,0.0282018929025635,311.703608002656,349.068812124504,131.490978579274
1999,"September","Far West","sal_Alt2_wTUCP_l95",316.949152542373,431.337102329376,431.337102329376,438.683948155533,0.0039481555333998,433.95102057464,441.32,66.755593220339
1999,"October","Far West","sal_Alt2_wTUCP_l95",2049.39242853487,2185.09197641999,2185.09197641999,2227.2900000449,0.0000000448972078426443,2185.11178601093,2227.31,89.9456515258316
1999,"November","Far West","sal_Alt2_wTUCP_l95",1653.12013929193,1621.28419423486,1621.28419423486,1653.12013929193,0.000139291932675566,1622.23476881408,1654.08,0.475356935577481
1999,"December","Far West","sal_Alt2_wTUCP_l95",472.07161524834,5882.44807481339,5949.50519470726,5994.09757244349,0.00720081418194458,1884.36137046541,1911.090805553,144.715849868319
2000,"January","Far West","sal_Alt2_wTUCP_l95",516.250998721878,9589.06019771906,12956.5057185649,13013.7080248498,0.00278948764460089,2290.42504918529,2318.10771393093,375.819171414905
2000,"February","Far West","sal_Alt2_wTUCP_l95",3079.88671062458,8412.97611825497,8866.82416192877,8953.14004726508,0.0101596769657107,1047.9649009576,1066.26102745327,277.288157463926
2000,"March","Far West","sal_Alt2_wTUCP_l95",2972.15899769438,13946.7176517409,14323.9689880816,14331.9969897185,0,1207.79274109446,1217.45529390428,460.887762961696
2000,"April","Far West","sal_Alt2_wTUCP_l95",298.667334296046,1356.47221636713,1356.47221636713,1374.50798968453,0.00367339894006349,1361.11128550595,1379.17731770544,707.090311033579
