"Cohort_Year","scenario","ACM_BPUV_Feb1Feb1","ACM_BPUV_Mar1Mar1","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
1995,"Alt1",846.464447070771,857.630437114614,1124660.70245063,-2605.35904979885,-4663.08650672002,-8825.85579943714,-301.036217980419,-2636.49702419571
1995,"Alt2v1wTUCP",846.464447070771,857.630437114614,1177356.91292592,-2479.4430129285,-4500.54915075645,-4903.22580645161,-4625,-4302.19901600078
1995,"Alt2v1woTUCP",846.464447070771,857.630437114614,1177365.01035391,-2486.69149071409,-4500.85791383094,-4903.22580645161,-4625,-4302.07696427924
1995,"Alt2v2noTUCP",846.464447070771,857.630437114614,1169722.25927736,-2280.31002227037,-4514.14173437898,-4903.22580645161,-4625,-4302.57536050022
1995,"Alt2v3noTUCP",846.464447070771,857.630437114614,1169833.51591212,-2278.86326500735,-4512.45635556447,-4903.22580645161,-4625,-4002.66608330565
1995,"Alt3",846.464447070771,862.344535910069,1181145.60008174,6793.54788508487,-4306.17871332982,-5145.16129032258,5724.22174956264,3303.9441495114
1995,"Alt4",846.464447070771,857.630437114614,1179211.42731259,-2478.80628947073,-4492.61994429908,-4323.54838709677,-4508.62068965517,-4550
1995,"EXP1",1644.43022234734,940.227281139033,1992798.84178009,11466.5766901107,12017.9833736625,2126.59587789229,10536.327709029,6966.56063000932
1995,"EXP3",1644.43022234734,940.227281139033,1854754.02291515,8993.79195931843,6720.47135259571,2290.72303371411,10197.2425032144,6433.08542156528
1995,"NAA",846.464447070771,857.630437114614,1190348.70926963,-2305.90787485524,-4485.48034616773,-4903.22580645161,-4035.86206896552,-3500
1996,"Alt1",878.615666050678,974.992132903963,611041.235307666,-4949.14736774259,-4864.08290640649,11079.1342040946,1691.35349183972,-4340.84633073843
1996,"Alt2v1wTUCP",878.615666050678,972.255460086682,663809.547649958,-4046.71711061007,-4505,11011.7381555306,1121.59092171501,-4410.73568680987
1996,"Alt2v1woTUCP",878.615666050678,972.255460086682,663818.61694251,-4047.01040524342,-4505,11011.7278621381,1116.73925077213,-4410.03998051136
1996,"Alt2v2noTUCP",878.615666050678,972.255460086682,664505.569711083,-3840.02899326377,-4505,11011.1838187637,1075.86368499285,-4409.81076040585
