region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,1995,1,acartela,1,1,1,0.004610876184846428,0.0016846707106877533,0.009051620636002265,0.004610876184846428,0.0016846707106877533,0.009051620636002265
Confluence,1995,1,allcopnaup,1,1,1,0.7971191005105189,0.24682553252155665,2.386442759460581,0.7971191005105189,0.24682553252155665,2.386442759460581
Confluence,1995,1,daphnia,1,1,1,82.90017875867318,37.99085077110565,217.96808874275115,82.90017875867318,37.99085077110565,217.96808874275115
Confluence,1995,1,eurytem,1,1,1,0.006534015101843749,0,0.0512784176360025,0.006534015101843749,0,0.0512784176360025
Confluence,1995,1,limno,1,1,1,0.00736508170465751,0.0033565236826293863,0.015576546286931019,0.00736508170465751,0.0033565236826293863,0.015576546286931019
Confluence,1995,1,mysid,1,1,1,0.022062636702877836,0.004032136855983576,0.05492612495344275,0.022062636702877836,0.004032136855983576,0.05492612495344275
Confluence,1995,1,othcalad,1,1,1,2.2147376444728524,1.1452670714885134,4.376721188985731,2.2147376444728524,1.1452670714885134,4.376721188985731
Confluence,1995,1,othcaljuv,1,1,1,0.787297095773006,0.5613442671424698,1.0812227179285305,0.787297095773006,0.5613442671424698,1.0812227179285305
Confluence,1995,1,othclad,1,1,1,53.422497386977035,34.12013201768691,89.86150965527737,53.422497386977035,34.12013201768691,89.86150965527737
Confluence,1995,1,othcyc,1,1,1,0.14929400776063298,0.0826423558168471,0.2679538219066913,0.14929400776063298,0.0826423558168471,0.2679538219066913
Confluence,1995,1,other,1,1,1,5.309507596033355,2.5739262034656987,10.949708227809973,5.309507596033355,2.5739262034656987,10.949708227809973
Confluence,1995,1,pdiapfor,1,1,1,0.1767203979424562,0.10087069334968288,0.2986851039468938,0.1767203979424562,0.10087069334968288,0.2986851039468938
Confluence,1995,2,acartela,1,1,1,0.03952589839602795,0,0.08207831185017252,0.03952589839602795,0,0.08207831185017252
Confluence,1995,2,allcopnaup,1,1,1,0.6819585597507865,0.4908115496932217,0.9224952446591358,0.6819585597507865,0.4908115496932217,0.9224952446591358
Confluence,1995,2,daphnia,1,1,1,3.6126016485860806,2.6005897916481913,5.142642253158739,3.6126016485860806,2.6005897916481913,5.142642253158739
Confluence,1995,2,eurytem,1,1,1,0.20772282389632374,0.13882681419963463,0.30316609849790055,0.20772282389632374,0.13882681419963463,0.30316609849790055
Confluence,1995,2,limno,1,1,1,0.10467872873042326,0.05407148692486787,0.19299502391644247,0.10467872873042326,0.05407148692486787,0.19299502391644247
Confluence,1995,2,mysid,1,1,1,0.04373585314592039,0,0.0967998734989765,0.04373585314592039,0,0.0967998734989765
Confluence,1995,2,othcalad,1,1,1,0.6656144502742873,0.44312657625342355,1.0168091136011417,0.6656144502742873,0.44312657625342355,1.0168091136011417
