"Cohort_Year","Calendar_Year","scenario","ACM_BPUV_Feb1Feb1","ACM_BPUV_Mar1Mar1","zoop_model_prediction"
1995,1996,"Alt1",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt1",876.979044474366,823.658538869786,"median"
1995,1996,"Alt1",1146.58154406485,1004.9173082712,"u95"
1995,1996,"Alt2v1wTUCP",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt2v1wTUCP",876.979044474366,823.658538869786,"median"
1995,1996,"Alt2v1wTUCP",1071.34904719513,1004.9173082712,"u95"
1995,1996,"Alt2v1woTUCP",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt2v1woTUCP",876.979044474366,823.658538869786,"median"
1995,1996,"Alt2v1woTUCP",1071.34904719513,1004.9173082712,"u95"
1995,1996,"Alt2v2noTUCP",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt2v2noTUCP",876.979044474366,823.658538869786,"median"
1995,1996,"Alt2v2noTUCP",1071.34904719513,1004.9173082712,"u95"
1995,1996,"Alt2v3noTUCP",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt2v3noTUCP",876.979044474366,823.658538869786,"median"
1995,1996,"Alt2v3noTUCP",1076.3556031632,1004.9173082712,"u95"
1995,1996,"Alt3",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt3",876.979044474366,823.658538869786,"median"
1995,1996,"Alt3",1068.81200876421,1004.9173082712,"u95"
1995,1996,"Alt4",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt4",876.979044474366,823.658538869786,"median"
1995,1996,"Alt4",1060.95436742278,1004.9173082712,"u95"
1995,1996,"Alt5",767.204242663792,681.916227025069,"l95"
1995,1996,"Alt5",876.979044474366,823.658538869786,"median"
1995,1996,"Alt5",1061.00201667418,1004.9173082712,"u95"
1995,1996,"EXP1",1318.17172786258,1528.88917332324,"l95"
1995,1996,"EXP1",1520.623125,1556.13009215516,"median"
1995,1996,"EXP1",1520.623125,1596.03667197737,"u95"
1995,1996,"EXP3",1306.13956454957,1528.88917332324,"l95"
1995,1996,"EXP3",1520.623125,1556.13009215516,"median"
1995,1996,"EXP3",1520.623125,1596.03667197737,"u95"
1995,1996,"NAA",767.204242663792,681.916227025069,"l95"
1995,1996,"NAA",876.979044474366,823.658538869786,"median"
1995,1996,"NAA",1081.59745483278,1004.9173082712,"u95"
1996,1997,"Alt1",848.462015890429,989.276027748831,"l95"
1996,1997,"Alt1",912.897150421135,1056.99234707768,"median"
1996,1997,"Alt1",982.706822108699,1081.34384422252,"u95"
1996,1997,"Alt2v1wTUCP",848.462015890429,990.671830356139,"l95"
1996,1997,"Alt2v1wTUCP",912.897150421135,1057.62307782714,"median"
1996,1997,"Alt2v1wTUCP",982.706822108699,1079.77142327841,"u95"
1996,1997,"Alt2v1woTUCP",848.462015890429,990.671830356139,"l95"
1996,1997,"Alt2v1woTUCP",912.897150421135,1057.62307782714,"median"
1996,1997,"Alt2v1woTUCP",982.706822108699,1079.77142327841,"u95"
1996,1997,"Alt2v2noTUCP",848.462015890429,990.671830356139,"l95"
1996,1997,"Alt2v2noTUCP",912.897150421135,1057.62307782714,"median"
1996,1997,"Alt2v2noTUCP",982.706822108699,1079.77142327841,"u95"
1996,1997,"Alt2v3noTUCP",848.462015890429,990.671830356139,"l95"
1996,1997,"Alt2v3noTUCP",912.897150421135,1057.62307782714,"median"
1996,1997,"Alt2v3noTUCP",982.706822108699,1079.77142327841,"u95"
1996,1997,"Alt3",848.462015890429,984.274841034959,"l95"
1996,1997,"Alt3",912.897150421135,1019.49100329924,"median"
1996,1997,"Alt3",982.706822108699,1057.90481508456,"u95"
