"Cohort_Year","scenario","ACM_BPUV_Feb1Feb1","ACM_BPUV_Mar1Mar1","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
1995,"Alt1",878.213010345502,826.461795628686,1124660.70245063,-2605.35904979885,-4663.08650672002,-8825.85579943714,-301.036217980419,-2636.49702419571
1995,"Alt2v1wTUCP",878.213010345502,826.461795628686,1177356.91292592,-2479.4430129285,-4500.54915075645,-4903.22580645161,-4625,-4302.19901600078
1995,"Alt2v1woTUCP",878.213010345502,826.461795628686,1177365.01035391,-2486.69149071409,-4500.85791383094,-4903.22580645161,-4625,-4302.07696427924
1995,"Alt2v2noTUCP",878.213010345502,826.461795628686,1169722.25927736,-2280.31002227037,-4514.14173437898,-4903.22580645161,-4625,-4302.57536050022
1995,"Alt2v3noTUCP",878.213010345502,826.461795628686,1169833.51591212,-2278.86326500735,-4512.45635556447,-4903.22580645161,-4625,-4002.66608330565
1995,"Alt3",878.213010345502,826.461795628686,1181145.60008174,6793.54788508487,-4306.17871332982,-5145.16129032258,5724.22174956264,3303.9441495114
1995,"Alt4",878.213010345502,826.461795628686,1179211.42731259,-2478.80628947073,-4492.61994429908,-4323.54838709677,-4508.62068965517,-4550
1995,"EXP1",1520.623125,1556.69785078063,1992798.84178009,11466.5766901107,12017.9833736625,2126.59587789229,10536.327709029,6966.56063000932
1995,"EXP3",1520.623125,1556.69785078063,1854754.02291515,8993.79195931843,6720.47135259571,2290.72303371411,10197.2425032144,6433.08542156528
1995,"NAA",878.213010345502,826.461795628686,1190348.70926963,-2305.90787485524,-4485.48034616773,-4903.22580645161,-4035.86206896552,-3500
1996,"Alt1",915.54386143781,1058.38171723084,611041.235307666,-4949.14736774259,-4864.08290640649,11079.1342040946,1691.35349183972,-4340.84633073843
1996,"Alt2v1wTUCP",915.54386143781,1059.86248263351,663809.547649958,-4046.71711061007,-4505,11011.7381555306,1121.59092171501,-4410.73568680987
1996,"Alt2v1woTUCP",915.54386143781,1059.86248263351,663818.61694251,-4047.01040524342,-4505,11011.7278621381,1116.73925077213,-4410.03998051136
1996,"Alt2v2noTUCP",915.54386143781,1059.86248263351,664505.569711083,-3840.02899326377,-4505,11011.1838187637,1075.86368499285,-4409.81076040585
1996,"Alt2v3noTUCP",915.54386143781,1059.86248263351,664631.716946862,-3840.3637264481,-4505,11012.5412235369,1083.82129543469,-4409.13440864913
1996,"Alt3",915.54386143781,1022.33951303656,767615.870023662,1788.88586748809,-2711.64056024777,11586.1662349914,7450.26759904478,3229.59718044849
1996,"Alt4",915.54386143781,1059.86248263351,663897.631896294,-4107.51132072008,-4505,11021.7725406152,1205.41687673488,-4408.4516159757
1996,"EXP1",1316.91880232392,1157.32036047302,606254.535642768,4640.56640583779,738.172196755943,24803.1895324281,11351.2665609695,5562.77925244134
1996,"EXP3",1316.91880232392,1157.32036047302,827254.512061268,3729.24096887894,643.798746778428,24549.28222692,10603.9898787105,5197.65127027368
1996,"NAA",915.54386143781,1037.61735963959,670775.902846469,-1381.08393551469,-4854.35336178828,11157.9644745177,2770.23023483585,-3500
1997,"Alt1",1454.30647120596,1548.328584963,756862.956871071,-3105.12636341929,-6881.73813572448,-9111.90776324236,8699.24264906814,1168.00055545608
1997,"Alt2v1wTUCP",1454.30647120596,1548.328584963,782994.227770527,-3237.4478021605,-3772.71203342755,-4903.22580645161,3648.092115507,-4375.33385037387
1997,"Alt2v1woTUCP",1454.30647120596,1548.328584963,783924.701837673,-3237.45696060855,-3772.70259949461,-4903.22580645161,3648.17732149014,-4375.29240949233
1997,"Alt2v2noTUCP",1454.30647120596,1548.328584963,785069.01182036,-3024.33528804385,-3772.70386340139,-4903.22580645161,3647.71010908875,-4375.56354457084
1997,"Alt2v3noTUCP",1454.30647120596,1548.328584963,784508.414217311,-3024.56017546583,-3772.6471524158,-4903.22580645161,3650.16556467953,-4374.57404622026
1997,"Alt3",1454.30647120596,1548.328584963,779431.651632386,450.803442595924,-1328.60870015355,-3642.05690937744,4647.82416898704,-2204.05889307251
1997,"Alt4",1454.30647120596,1548.328584963,784703.00621007,-3236.32705486129,-3772.43349958482,-4323.54838709677,3658.42765461388,-4371.21155632034
1997,"EXP1",1583.06942194717,1717.68773175698,129682.297138217,2484.11127350991,-96.1307244135952,2239.65829689379,20997.7404418355,9935.80063199442
1997,"EXP3",1583.06942194717,1717.68773175698,592194.311480029,2583.48421248826,482.465082438839,1825.97127056172,19404.4844801448,9191.59192687897
