"","year","month","region","sal_base"
"1",1995,1,"Confluence",3.13513758695417
"2",1995,1,"East Delta",0.104426727757418
"3",1995,1,"Lower Sacramento River",0.190477594104721
"4",1995,1,"Lower San Joaquin River",0.482584790462125
"5",1995,1,"NE Suisun",6.82694161337112
"6",1995,1,"NW Suisun",11.6764766874045
"7",1995,1,"SE Suisun",6.56194055992178
"8",1995,1,"SW Suisun",10.6120469069666
"9",1995,1,"Sacramento River",0.0821822778259284
"10",1995,1,"South Delta",0.191583709297771
"11",1995,1,"Suisun Marsh",1.52084725787795
"12",1995,1,"Yolo Bypass",0.10663591540048
"13",1995,2,"Confluence",0.386819339645542
"14",1995,2,"East Delta",0.438207750753922
"15",1995,2,"Lower Sacramento River",0.338236283561546
"16",1995,2,"Lower San Joaquin River",0.368631150402457
"17",1995,2,"NE Suisun",0.469645907924422
"18",1995,2,"NW Suisun",0.560959665010705
"19",1995,2,"SE Suisun",0.376374731207532
"20",1995,2,"SW Suisun",0.497382227297626
"21",1995,2,"Sacramento River",0.411324949930039
"22",1995,2,"South Delta",0.781725555235459
"23",1995,2,"Suisun Marsh",0.914597365245695
"24",1995,2,"Yolo Bypass",0.740325812135188
"25",1995,3,"Confluence",0.452816644418993
"26",1995,3,"East Delta",0.314801710237766
"27",1995,3,"Lower Sacramento River",0.275049388548043
"28",1995,3,"Lower San Joaquin River",0.49765012676244
"29",1995,3,"NE Suisun",0.696680461319879
"30",1995,3,"NW Suisun",0.797346291010243
"31",1995,3,"SE Suisun",0.54332193921274
"32",1995,3,"SW Suisun",0.779861536820411
"33",1995,3,"Sacramento River",0.27277739910511
"34",1995,3,"South Delta",0.766464568042934
"35",1995,3,"Suisun Marsh",0.611208558049787
"36",1995,3,"Yolo Bypass",0.67863048089051
"37",1995,4,"Confluence",0.34121342130139
"38",1995,4,"East Delta",0.0541149183199178
"39",1995,4,"Lower Sacramento River",0.0981974536501583
"40",1995,4,"Lower San Joaquin River",0.164387185301569
"41",1995,4,"NE Suisun",0.481792138348647
"42",1995,4,"NW Suisun",0.493038212991319
"43",1995,4,"SE Suisun",0.402535077846579
"44",1995,4,"SW Suisun",0.557612647051046
"45",1995,4,"Sacramento River",0.0987532582093632
"46",1995,4,"South Delta",0.151045619031084
"47",1995,4,"Suisun Marsh",0.804222821277401
"48",1995,4,"Yolo Bypass",0.192367102360622
"49",1995,5,"Confluence",0.0736544346778461
"50",1995,5,"East Delta",0.0343762609161499
"51",1995,5,"Lower Sacramento River",0.067887378458964
"52",1995,5,"Lower San Joaquin River",0.0882716049767443
"53",1995,5,"NE Suisun",0.071073557808731
"54",1995,5,"NW Suisun",0.119780247018173
"55",1995,5,"SE Suisun",0.0893359104963085
"56",1995,5,"SW Suisun",0.186075568667065
"57",1995,5,"Sacramento River",0.0712790923774819
"58",1995,5,"South Delta",0.0791868157836212
"59",1995,5,"Suisun Marsh",0.493631734734431
"60",1995,5,"Yolo Bypass",0.0730614620313068
"61",1995,6,"Confluence",0.0631384086533263
"62",1995,6,"East Delta",0.0343748709593773
"63",1995,6,"Lower Sacramento River",0.0684032457180435
"64",1995,6,"Lower San Joaquin River",0.0747575913014675
"65",1995,6,"NE Suisun",0.0850710442538065
"66",1995,6,"NW Suisun",0.334739179327087
"67",1995,6,"SE Suisun",0.0735047451685375
"68",1995,6,"SW Suisun",2.11000549362452
"69",1995,6,"Sacramento River",0.0707116706162049
"70",1995,6,"South Delta",0.0834450349239581
"71",1995,6,"Suisun Marsh",0.470976497884357
"72",1995,6,"Yolo Bypass",0.110497083755019
"73",1995,7,"Confluence",0.0597832357109394
"74",1995,7,"East Delta",0.0371646233593661
"75",1995,7,"Lower Sacramento River",0.0600650490507364
"76",1995,7,"Lower San Joaquin River",0.0618638849665331
"77",1995,7,"NE Suisun",0.269950871653389
"78",1995,7,"NW Suisun",0.736238072751819
"79",1995,7,"SE Suisun",0.0735578650459341
"80",1995,7,"SW Suisun",2.16353282647285
"81",1995,7,"Sacramento River",0.0655175975690335
"82",1995,7,"South Delta",0.105445773308515
"83",1995,7,"Suisun Marsh",0.327238160486304
"84",1995,7,"Yolo Bypass",0.0701572023197717
"85",1995,8,"Confluence",0.229653611972802
"86",1995,8,"East Delta",0.0446107513161983
"87",1995,8,"Lower Sacramento River",0.0675051337735186
"88",1995,8,"Lower San Joaquin River",0.0608510900282403
"89",1995,8,"NE Suisun",1.73246149757301
"90",1995,8,"NW Suisun",3.34452753066066
"91",1995,8,"SE Suisun",1.06285995759904
"92",1995,8,"SW Suisun",4.30963046722197
"93",1995,8,"Sacramento River",0.0574773146714287
"94",1995,8,"South Delta",0.133209090193082
"95",1995,8,"Suisun Marsh",1.21840233666197
"96",1995,8,"Yolo Bypass",0.0859730985594487
"97",1995,9,"Confluence",3.52580861929633
"98",1995,9,"East Delta",0.0832007450106862
"99",1995,9,"Lower Sacramento River",0.215761386151628
"100",1995,9,"Lower San Joaquin River",0.207414905617652
"101",1995,9,"NE Suisun",0.675454822015284
"102",1995,9,"NW Suisun",2.77810866710722
"103",1995,9,"SE Suisun",8.21624381959409
"104",1995,9,"SW Suisun",8.53086169033466
"105",1995,9,"Sacramento River",0.0734531339040766
"106",1995,9,"South Delta",0.190296238626846
"107",1995,9,"Suisun Marsh",1.38639148898971
"108",1995,9,"Yolo Bypass",0.0672838993733861
"109",1995,10,"Confluence",0.47108979295843
"110",1995,10,"East Delta",0.0449725674903675
"111",1995,10,"Lower Sacramento River",0.106950855688483
"112",1995,10,"Lower San Joaquin River",0.0802684304846758
"113",1995,10,"NE Suisun",1.00848476142533
"114",1995,10,"NW Suisun",3.88812048578217
"115",1995,10,"SE Suisun",1.58215134171096
"116",1995,10,"SW Suisun",5.93257244968089
"117",1995,10,"Sacramento River",0.0699732373001226
"118",1995,10,"South Delta",0.0737583311679035
"119",1995,10,"Suisun Marsh",1.64071259577871
"120",1995,10,"Yolo Bypass",0.068241609232044
"121",1995,11,"Confluence",1.14946265126769
"122",1995,11,"East Delta",0.0641375389691973
"123",1995,11,"Lower Sacramento River",0.251073383389367
"124",1995,11,"Lower San Joaquin River",0.188789867521147
"125",1995,11,"NE Suisun",3.75977823936773
"126",1995,11,"NW Suisun",7.2956423894625
"127",1995,11,"SE Suisun",3.48926121975751
"128",1995,11,"SW Suisun",8.45186972626428
"129",1995,11,"Sacramento River",0.0789409757272414
"130",1995,11,"South Delta",0.150175972992058
"131",1995,11,"Suisun Marsh",3.13791969622324
"132",1995,11,"Yolo Bypass",0.0802186535554827
"133",1995,12,"Confluence",0.777270108287221
"134",1995,12,"East Delta",0.0740613729267449
"135",1995,12,"Lower Sacramento River",0.17177324688732
"136",1995,12,"Lower San Joaquin River",0.174513349355794
"137",1995,12,"NE Suisun",2.86017114352335
"138",1995,12,"NW Suisun",7.80378411814806
"139",1995,12,"SE Suisun",5.30752889455014
"140",1995,12,"SW Suisun",13.2053249277628
"141",1995,12,"Sacramento River",0.085059602923907
"142",1995,12,"South Delta",0.180036494936558
"143",1995,12,"Suisun Marsh",2.04735298357473
"144",1996,1,"Confluence",0.171848973408424
"145",1996,1,"East Delta",0.0896725452005404
"146",1996,1,"Lower Sacramento River",0.108763506634843
"147",1996,1,"Lower San Joaquin River",0.113713715699493
"148",1996,1,"NE Suisun",0.696856930478351
"149",1996,1,"NW Suisun",2.10634812983025
"150",1996,1,"SE Suisun",1.17041114456134
"151",1996,1,"SW Suisun",5.33568354961537
"152",1996,1,"Sacramento River",0.0975767780623883
"153",1996,1,"South Delta",0.174640016340407
"154",1996,1,"Suisun Marsh",1.22451408835328
"155",1996,1,"Yolo Bypass",0.164270639156171
"156",1996,2,"Confluence",0.085314642516974
"157",1996,2,"East Delta",0.0544301041537768
"158",1996,2,"Lower Sacramento River",0.101505269652207
"159",1996,2,"Lower San Joaquin River",0.10602673053823
"160",1996,2,"NE Suisun",0.11548022314129
"161",1996,2,"NW Suisun",0.146796734706045
"162",1996,2,"SE Suisun",0.0953645091178792
"163",1996,2,"SW Suisun",0.336563825494463
"164",1996,2,"Sacramento River",0.0787953909558739
"165",1996,2,"South Delta",0.136719815848939
"166",1996,2,"Suisun Marsh",0.674893347342582
"167",1996,2,"Yolo Bypass",0.155020642610573
"168",1996,3,"Confluence",0.090204733912798
"169",1996,3,"East Delta",0.0550668895452428
"170",1996,3,"Lower Sacramento River",0.104066833710982
"171",1996,3,"Lower San Joaquin River",0.109874598922818
"172",1996,3,"NE Suisun",0.0964375503075377
"173",1996,3,"NW Suisun",0.129555023814115
"174",1996,3,"SE Suisun",0.089951248060886
"175",1996,3,"SW Suisun",0.0977469296860772
"176",1996,3,"Sacramento River",0.0827127911964647
"177",1996,3,"South Delta",0.122202431551587
"178",1996,3,"Suisun Marsh",0.755537911257999
