"Cohort_Year","scenario","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
1995,"Alt1",1124660.70245063,-2605.35904979885,-4663.08650672002,-8825.85579943714,-301.036217980419,-2636.49702419571
1995,"Alt2v1wTUCP",1177885.99822138,-2476.49742185199,-4497.35429279524,-4903.22580645161,-4625,-4550
1995,"Alt2v1woTUCP",1177802.7065279,-2477.30740073339,-4497.1875209257,-4903.22580645161,-4625,-4550
1995,"Alt2v2noTUCP",1176192.72062381,-2187.28482501065,-4501.48605207783,-4903.22580645161,-4266.63660094176,-4550
1995,"Alt2v3noTUCP",1170434.00769344,-2274.63579359351,-4507.73634673075,-4903.22580645161,-4625,-4395.63461342773
1995,"Alt3",1181145.60008174,6793.54788508487,-4306.17871332982,-5145.16129032258,5724.22174956264,3303.9441495114
1995,"Alt4",1137968.20341644,-2469.77016255329,-4485.9832422523,-4323.54838709677,-4508.62068965517,-4499.75554800183
1995,"EXP1",1992798.84178009,11466.5766901107,12017.9833736625,2126.59587789229,10536.327709029,6966.56063000932
1995,"EXP3",1854754.02291515,8993.79195931843,6720.47135259571,2290.72303371411,10197.2425032144,6433.08542156528
1995,"NAA",1190348.70926963,-2305.90787485524,-4485.48034616773,-4903.22580645161,-4035.86206896552,-3500
1996,"Alt1",611041.235307666,-4949.14736774259,-4864.08290640649,11079.1342040946,1691.35349183972,-4340.84633073843
1996,"Alt2v1wTUCP",663717.339396547,-4047.28087885995,-4505,10373.2871355891,859.329080547134,-4403.15110028647
1996,"Alt2v1woTUCP",663698.418134827,-4047.29183439461,-4505,10373.427163106,860.292144982938,-4408.58601751792
1996,"Alt2v2noTUCP",663544.523630306,-3840.73260861193,-4505,10375.828865983,857.291837330292,-4404.85712777242
1996,"Alt2v3noTUCP",664468.042744944,-3840.71108416774,-4505,10375.3100860155,831.701701110805,-4407.22880892923
1996,"Alt3",767615.870023662,1788.88586748809,-2711.64056024777,11586.1662349914,7450.26759904478,3229.59718044849
1996,"Alt4",616186.77585126,-4107.89283920271,-4505,11037.0816047001,1418.73794983185,-4398.53814173683
1996,"EXP1",606254.535642768,4640.56640583779,738.172196755943,24803.1895324281,11351.2665609695,5562.77925244134
1996,"EXP3",827254.512061268,3729.24096887894,643.798746778428,24549.28222692,10603.9898787105,5197.65127027368
1996,"NAA",670775.902846469,-1381.08393551469,-4854.35336178828,11157.9644745177,2770.23023483585,-3500
1997,"Alt1",756862.956871071,-3105.12636341929,-6881.73813572448,-9111.90776324236,8699.24264906814,1168.00055545608
