"","Alt1","Alt2v1wTUCP","Alt2v1woTUCP","Alt2v2noTUCP","Alt2v3noTUCP","Alt3","Alt4","Alt5","EXP1","EXP3","NAA"
"1",1.65502293055958,1.8043155513192,1.81365738643044,1.85786382637206,1.80104449822086,2.27743563248536,1.81454541182412,1.83087391301955,4.57989003393238,4.3258860299402,1.90039564470812
"2",0.659189844197601,0.63463136578091,0.626654688528011,0.63949728529976,0.636731911120252,1.06555017566864,0.62389488906415,0.61912038487408,1.20534900972839,1.45516773734484,0.744256225013933
"3",0.381918710320921,0.574138511462165,0.576835764003182,0.582000492200147,0.577845046275526,0.787647737588381,0.574189903778987,0.565883233569439,0.598372329245974,0.991542256614272,0.605193986429814
"4",1.73456913297231,1.67198553707328,1.64915318397346,1.65516231273646,1.65278037440266,3.01444898629305,1.73247790469042,1.73832722350427,5.14710797546495,4.90754277882561,1.8131083587545
"5",0.555296840373753,0.685321884506778,0.690729335913983,0.678319005314002,0.698214766399488,0.883143586256071,0.651580851018102,0.638290588643213,1.01093752555705,1.36204931499655,0.775391940276632
"6",0.420266160428467,0.794474716906488,0.791492694647297,0.842819858529106,0.858584904834907,0.777032016567925,0.715750617060702,0.723041456306306,0.76974000281474,1.14049826342103,0.86106414155708
"7",0.136532459228853,0.35240839882705,0.354587911670897,0.387568370238872,0.400858822054031,0.59485806521498,0.351723527287353,0.356407084337555,0.293403413257422,0.470057175700382,0.359550901448555
"8",0.687057037383503,0.914465064262923,0.932033480482725,1.00382966881651,0.997663068470658,1.19665200938145,0.915212650806716,0.929990304338993,0.731863408027318,1.24886306868116,0.9098460553876
"9",0.726287378843737,1.44936984499281,1.45649327813542,1.53201112571382,1.53567417015148,1.5606284576561,1.3615601994353,1.36828076210629,1.62174264473852,2.5450262198043,1.504386016887
"10",0.432286310879398,0.791537888696998,0.786644715217157,0.816430900714742,0.81756946190532,0.908845491482006,0.735605658570068,0.737488258883852,0.653009049824152,1.11901722868006,0.813153341897897
"11",1.05236501221419,1.28163485371985,1.27716620853652,1.34475065120649,1.36500932706337,1.58587709768521,1.28645427525893,1.28204570014752,2.94891764927427,3.19918272956857,1.31718244152752
"12",2.09105762673816,2.35776314930785,2.39244655592838,2.46023321046352,2.50915758519288,3.35294215066327,2.284859925553,2.37281913820697,3.13330294146331,3.46535507218751,2.49963488016159
"13",0.357510774055021,0.593284536963621,0.594769926898867,0.600637612978238,0.595546472317753,0.851514140377555,0.55343261205526,0.554374276839535,0.470014445708793,0.808147092757114,0.594410527444339
"14",0.907011242292819,0.994098968572942,0.987857896101235,1.05288605471915,1.05737267898602,1.32722910275888,0.984059758550871,0.987423417861586,0.634061782754521,1.03521815762901,0.991821060253631
"15",0.491737709441178,0.72932509243299,0.726196970281738,0.725150342007553,0.715773414873463,0.810437310062864,0.704707894130847,0.714641279293302,0.618003418864302,1.14840892926654,0.728240993967711
"16",1.13731057815881,1.24910867666591,1.24278145981647,1.27992814371271,1.23671627854105,1.40482782628424,1.2472654226453,1.22967893812689,2.23990139060154,2.33081435750432,1.27034183660837
"17",2.6548430707386,2.76703781035895,2.75873455326259,2.75155849021601,2.76707995050526,2.60081320556105,2.79932844426024,2.79305081577629,4.74133611653843,4.69976069360871,2.74673703817368
"18",0.653948919743959,0.910592793582169,0.915359344007561,0.927001710212446,0.923928176991329,1.04670747554316,0.917200118788085,0.924953403487066,0.557052693136842,0.928908776381703,0.944052656776715
"19",0.788706932840178,0.831803731083326,0.834420424859399,0.841768906722465,0.841669836149525,1.0092594972289,0.831882055572748,0.837021719554082,0.445541037311079,0.731007917633781,0.820357413316824
"20",0.362401315592269,0.406389769754024,0.443398415312929,0.433157882160587,0.433980663085288,0.58818829431681,0.375682744650379,0.38656998119103,0.302041878180394,0.44992342413616,0.396503240246861
"21",0.646499244143469,0.551418419759368,0.630239079879611,0.635033072324,0.624277599137993,0.728545346832757,0.544924429966776,0.536437318667021,0.403135839854135,0.602993997754541,0.549579612089023
